volts,amps
0.550,0.691e-6
0.553,0.761e-6
0.556,0.844e-6
0.560,0.946e-6
0.564,1.080e-6
0.569,1.261e-6
0.574,1.517e-6
0.579,1.797e-6
0.589,2.52e-6
0.601,3.77e-6
0.612,5.64e-6
0.624,8.63e-6
0.635,12.66e-6
0.656,28.6e-6
0.669,47.6e-6
0.680,67.5e-6
0.694,117.4e-6
0.704,164.0e-6
0.718,350e-6
0.726,459e-6
0.732,551e-6
0.740,752e-6
0.750,1.060e-3
0.757,1.443e-3
0.767,2.00e-3
0.773,2.60e-3
0.779,3.22e-3
0.783,3.51e-3
0.795,4.98e-3
0.802,6.49e-3
0.810,8.09e-3
0.818,10.36e-3
0.829,14.33e-3
0.839,18.91e-3
0.847,21.8e-3
