volts,amps
0.0318,0.968e-6
0.0335,1.060e-6
0.0356,1.176e-6
0.0379,1.325e-6
0.0408,1.50e-6
0.0442,1.75e-6
0.0482,2.10e-6
0.0534,2.62e-6
0.0603,3.50e-6
0.0704,5.26e-6
0.0717,5.55e-6
0.0827,8.55e-6
0.0950,13.7e-6
0.1076,22.2e-6
0.124,40.4e-6
0.136,64.8e-6
0.146,93.5e-6
0.148,101.5e-6
0.164,184.3e-6
0.176,282.2e-6
0.183,379.2e-6
0.191,497.3e-6
0.198,644.5e-6
0.206,897.5e-6
0.215,1.234e-3
0.223,1.665e-3
0.233,2.436e-3
0.240,3.156e-3
0.247,3.972e-3
0.253,4.90e-3
0.259,6.26e-3
0.266,7.89e-3
0.272,9.87e-3
0.279,12.43e-3
0.286,16.32e-3
0.294,21.20e-3
0.302,26.50e-3
