volts,amps
0.512,0.697e-6
0.515,0.762e-6
0.518,0.845e-6
0.521,0.954e-6
0.525,1.079e-6
0.529,1.255e-6
0.534,1.504e-6
0.540,1.864e-6
0.548,2.49e-6
0.559,3.71e-6
0.569,5.55e-6
0.581,8.54e-6
0.592,12.95e-6
0.612,30.3e-6
0.625,48.7e-6
0.633,70.1e-6
0.647,112.5e-6
0.658,172.9e-6
0.671,302e-6
0.678,392e-6
0.684,504e-6
0.693,694e-6
0.701,932e-6
0.709,1.269e-3
0.717,1.819e-3
0.726,2.33e-3
0.733,3.02e-3
0.738,3.80e-3
0.749,5.09e-3
0.756,6.33e-3
0.764,8.05e-3
0.772,10.48e-3
0.783,14.01e-3
0.796,19.17e-3
0.806,24.0e-3
