volts,amps
0.2740,8.947e-7
0.2888,0.000001214
0.3036,0.000001653
0.3184,0.000002318
0.3332,0.000003325
0.3480,0.000004769
0.3628,0.000007044
0.3776,0.00001049
0.3923,0.00001556
0.4071,0.00002365
0.4219,0.00003396
0.4367,0.00005053
0.4515,0.00007352
0.4663,0.0001101
0.4811,0.0001542
0.4959,0.0002219
0.5107,0.0003131
0.5255,0.0004406
0.5403,0.0006163
0.5551,0.0008606
0.5699,0.001188
0.5847,0.001651
0.5994,0.002239
0.6142,0.003057
0.6290,0.004302
0.6438,0.005865
0.6586,0.008115
0.6734,0.01105
0.6882,0.01561
0.7030,0.02144
