volts,amps
0.548,0.691e-6
0.551,0.767e-6
0.554,0.841e-6
0.558,0.948e-6
0.562,1.082e-6
0.566,1.257e-6
0.571,1.508e-6
0.578,1.872e-6
0.586,2.50e-6
0.597,3.72e-6
0.608,5.56e-6
0.620,8.56e-6
0.631,12.95e-6
0.651,28.9e-6
0.662,46.1e-6
0.675,69.0e-6
0.688,111.9e-6
0.699,171.3e-6
0.713,360e-6
0.721,476e-6
0.728,628e-6
0.736,852e-6
0.745,1.181e-3
0.754,1.587e-3
0.764,2.30e-3
0.771,2.91e-3
0.778,3.63e-3
0.783,4.47e-3
0.791,5.78e-3
0.800,7.30e-3
0.809,9.55e-3
0.817,12.93e-3
0.828,15.69e-3
0.840,20.9e-3
0.852,26.1e-3
