volts,amps
0.526,0.761e-6
0.530,0.835e-6
0.533,0.925e-6
0.537,1.039e-6
0.542,1.183e-6
0.548,1.375e-6
0.554,1.645e-6
0.561,2.04e-6
0.569,2.71e-6
0.581,4.03e-6
0.593,6.09e-6
0.606,9.47e-6
0.618,14.25e-6
0.638,32.9e-6
0.650,51.8e-6
0.661,75.8e-6
0.675,128.6e-6
0.684,180.3e-6
0.698,320e-6
0.705,420e-6
0.712,539e-6
0.720,743e-6
0.728,1.010e-3
0.735,1.313e-3
0.745,1.936e-3
0.752,2.51e-3
0.757,3.09e-3
0.763,3.76e-3
0.771,5.23e-3
0.778,6.75e-3
0.785,8.20e-3
0.795,11.61e-3
0.802,14.68e-3
0.812,20.60e-3
0.818,25.3e-3
