volts,amps
0.501,0.700e-6
0.506,0.760e-6
0.510,0.836e-6
0.514,0.938e-6
0.519,1.065e-6
0.525,1.240e-6
0.531,1.484e-6
0.539,1.840e-6
0.549,2.45e-6
0.562,3.65e-6
0.576,5.45e-6
0.589,8.33e-6
0.602,12.44e-6
0.624,28.4e-6
0.640,46.3e-6
0.654,71.9e-6
0.670,122.1e-6
0.680,172.8e-6
0.696,319e-6
0.704,415e-6
0.712,527e-6
0.721,715e-6
0.730,973e-6
0.741,1.308e-3
0.752,1.873e-3
0.761,2.421e-3
0.769,3.07e-3
0.775,3.69e-3
0.784,4.93e-3
0.791,6.05e-3
0.800,7.70e-3
0.808,9.76e-3
0.819,13.45e-3
0.831,18.45e-3
0.836,22.1e-3
