volts,amps
0.532,0.662e-6
0.536,0.725e-6
0.539,0.765e-6
0.543,0.891e-6
0.548,1.023e-6
0.553,1.191e-6
0.559,1.419e-6
0.565,1.734e-6
0.575,2.36e-6
0.587,3.51e-6
0.600,5.42e-6
0.613,8.46e-6
0.625,12.96e-6
0.647,29.6e-6
0.660,47.2e-6
0.671,67.9e-6
0.682,100.5e-6
0.695,156.2e-6
0.707,267e-6
0.716,368e-6
0.724,462e-6
0.736,698e-6
0.745,944e-6
0.753,1.243e-3
0.762,1.692e-3
0.769,2.13e-3
0.776,2.74e-3
0.784,3.45e-3
0.794,4.71e-3
0.801,5.97e-3
0.810,7.72e-3
0.816,9.27e-3
0.829,13.19e-3
0.840,17.55e-3
0.848,20.9e-3
