volts,amps
0.01550,9.380e-7
0.02400,0.000001729
0.03250,0.000002843
0.04100,0.000004390
0.04950,0.000006567
0.05800,0.000009494
0.06650,0.00001335
0.07500,0.00001921
0.08350,0.00002836
0.09200,0.00003911
0.1005,0.00005478
0.1090,0.00007585
0.1175,0.0001056
0.1260,0.0001480
0.1345,0.0002030
0.1430,0.0002791
0.1515,0.0003824
0.1600,0.0005282
0.1685,0.0007313
0.1770,0.001008
0.1855,0.001398
0.1940,0.001922
0.2025,0.002635
0.2110,0.003625
0.2195,0.005060
0.2280,0.006899
0.2365,0.009526
0.2450,0.01294
0.2535,0.01789
0.2620,0.02398
