volts,amps
0.348,0.669e-6
0.358,0.735e-6
0.365,0.812e-6
0.372,0.912e-6
0.378,1.034e-6
0.386,1.200e-6
0.395,1.433e-6
0.406,1.768e-6
0.420,2.34e-6
0.439,3.46e-6
0.459,5.12e-6
0.483,8.25e-6
0.504,12.50e-6
0.545,31.8e-6
0.568,50.6e-6
0.586,73.2e-6
0.612,122.6e-6
0.629,172.7e-6
0.654,336e-6
0.666,437e-6
0.679,580e-6
0.694,806e-6
0.705,1.059e-3
0.719,1.492e-3
0.732,2.12e-3
0.740,2.60e-3
0.750,3.41e-3
0.758,4.36e-3
0.768,5.71e-3
0.772,6.58e-3
0.780,8.25e-3
0.790,11.56e-3
0.800,15.32e-3
0.808,18.66e-3
0.816,24.0e-3
