volts,amps
0.528,0.680e-6
0.532,0.741e-6
0.536,0.826e-6
0.541,0.924e-6
0.546,1.051e-6
0.551,1.223e-6
0.558,1.460e-6
0.565,1.801e-6
0.574,2.38e-6
0.587,3.55e-6
0.599,5.19e-6
0.612,7.85e-6
0.624,11.71e-6
0.641,18.77e-6
0.647,27.1e-6
0.658,40.8e-6
0.669,62.5e-6
0.687,115.9e-6
0.699,171.6e-6
0.713,367e-6
0.721,475e-6
0.727,608e-6
0.736,833e-6
0.744,1.116e-3
0.753,1.608e-3
0.763,2.32e-3
0.770,3.02e-3
0.776,3.75e-3
0.782,4.64e-3
0.789,5.99e-3
0.796,7.35e-3
0.802,9.20e-3
0.809,11.57e-3
0.817,15.72e-3
0.825,20.2e-3
0.833,25.1e-3
