volts,amps
0.575,0.687e-6
0.579,0.763e-6
0.582,0.838e-6
0.586,0.947e-6
0.590,1.078e-6
0.594,1.255e-6
0.600,1.505e-6
0.606,1.863e-6
0.614,2.43e-6
0.626,3.65e-6
0.637,5.41e-6
0.649,8.24e-6
0.661,12.93e-6
0.683,30.7e-6
0.696,48.9e-6
0.706,69.3e-6
0.720,116.0e-6
0.729,166.8e-6
0.743,279e-6
0.751,369e-6
0.758,475e-6
0.764,608e-6
0.774,840e-6
0.783,1.196e-3
0.793,1.684e-3
0.801,2.21e-3
0.808,2.91e-3
0.814,3.59e-3
0.819,4.26e-3
0.826,5.26e-3
0.838,7.47e-3
0.843,9.08e-3
0.856,12.82e-3
0.867,16.96e-3
0.876,21.3e-3
