volts,amps
0.548,0.696e-6
0.551,0.765e-6
0.555,0.848e-6
0.559,0.954e-6
0.564,1.087e-6
0.569,1.267e-6
0.576,1.521e-6
0.583,1.892e-6
0.593,2.54e-6
0.606,3.81e-6
0.619,5.73e-6
0.633,8.87e-6
0.646,13.57e-6
0.667,30.3e-6
0.680,47.6e-6
0.689,65.9e-6
0.706,117.7e-6
0.715,165.9e-6
0.729,302e-6
0.737,393e-6
0.744,502e-6
0.752,689e-6
0.760,940e-6
0.768,1.242e-3
0.778,1.789e-3
0.785,2.30e-3
0.791,2.89e-3
0.794,3.39e-3
0.804,4.56e-3
0.812,6.07e-3
0.818,7.41e-3
0.827,9.90e-3
0.836,13.04e-3
0.847,18.54e-3
0.855,22.0e-3
