volts,amps
0.293,0.718e-6
0.298,0.788e-6
0.304,0.875e-6
0.311,0.982e-6
0.318,1.120e-6
0.326,1.305e-6
0.336,1.565e-6
0.347,1.946e-6
0.362,2.61e-6
0.384,3.91e-6
0.407,5.88e-6
0.431,9.08e-6
0.455,13.87e-6
0.499,31.8e-6
0.530,50.7e-6
0.554,72.2e-6
0.589,122.2e-6
0.613,172.3e-6
0.644,373e-6
0.660,456e-6
0.672,580e-6
0.688,802e-6
0.703,1.106e-3
0.716,1.499e-3
0.734,2.27e-3
0.742,2.86e-3
0.752,3.66e-3
0.760,4.69e-3
0.769,6.14e-3
0.778,7.76e-3
0.784,9.06e-3
0.792,11.70e-3
0.800,12.89e-3
0.813,18.86e-3
0.821,23.9e-3
