volts,amps
0.523,0.696e-6
0.527,0.766e-6
0.530,0.849e-6
0.535,0.955e-6
0.539,1.087e-6
0.545,1.268e-6
0.550,1.520e-6
0.558,1.890e-6
0.567,2.53e-6
0.580,3.78e-6
0.593,5.66e-6
0.606,8.66e-6
0.618,13.18e-6
0.640,30.2e-6
0.655,49.9e-6
0.666,70.6e-6
0.680,118.5e-6
0.692,173.9e-6
0.707,333e-6
0.715,438e-6
0.723,572e-6
0.733,797e-6
0.743,1.097e-3
0.752,1.456e-3
0.763,2.11e-3
0.771,2.70e-3
0.779,3.41e-3
0.786,4.27e-3
0.794,5.62e-3
0.802,6.98e-3
0.811,8.84e-3
0.819,11.51e-3
0.829,14.98e-3
0.840,19.49e-3
0.851,24.50e-3


