volts,amps
0.0328,0.709e-6
0.0342,0.759e-6
0.0364,0.842e-6
0.0389,0.945e-6
0.0416,1.074e-6
0.0448,1.248e-6
0.0489,1.498e-6
0.0537,1.849e-6
0.0619,2.61e-6
0.0717,3.92e-6
0.0822,5.89e-6
0.0933,9.11e-6
0.1044,13.92e-6
0.1240,32.1e-6
0.1363,51.1e-6
0.1457,73.2e-6
0.1594,122.3e-6
0.1677,166.5e-6
0.1820,293e-6
0.1889,380e-6
0.1960,498e-6
0.204,685e-6
0.212,935e-6
0.220,1.260e-3
0.230,1.796e-3
0.237,2.37e-3
0.243,2.96e-3
0.248,3.71e-3
0.257,5.02e-3
0.262,6.03e-3
0.270,7.99e-3
0.277,10.20e-3
0.284,13.32e-3
0.294,18.56e-3
0.303,25.0e-3
