volts,amps
0.546,0.656e-6
0.549,0.720e-6
0.552,0.798e-6
0.556,0.893e-6
0.561,1.053e-6
0.565,1.236e-6
0.571,1.481e-6
0.577,1.854e-6
0.586,2.50e-6
0.597,3.74e-6
0.608,5.60e-6
0.619,8.68e-6
0.632,13.18e-6
0.652,30.2e-6
0.665,48.6e-6
0.673,67.0e-6
0.686,107.3e-6
0.699,167.8e-6
0.712,360e-6
0.720,468e-6
0.727,606e-6
0.735,834e-6
0.744,1.138e-3
0.753,1.544e-3
0.764,2.31e-3
0.771,2.97e-3
0.779,3.93e-3
0.785,4.88e-3
0.793,6.19e-3
0.800,7.77e-3
0.807,9.70e-3
0.816,12.56e-3
0.824,14.52e-3
0.836,20.2e-3
0.846,24.1e-3
