volts,amps
0.486,0.654e-6
0.492,0.760e-6
0.497,0.852e-6
0.503,0.959e-6
0.508,1.092e-6
0.515,1.272e-6
0.522,1.524e-6
0.532,1.894e-6
0.543,2.52e-6
0.559,3.79e-6
0.572,5.24e-6
0.587,7.87e-6
0.601,11.75e-6
0.631,30.7e-6
0.647,49.7e-6
0.659,72.0e-6
0.673,118.1e-6
0.686,169.8e-6
0.699,275e-6
0.707,382e-6
0.716,499e-6
0.725,689e-6
0.734,932e-6
0.742,1.243e-3
0.749,1.602e-3
0.756,2.07e-3
0.764,2.73e-3
0.769,3.41e-3
0.777,4.42e-3
0.784,5.82e-3
0.792,7.01e-3
0.799,9.13e-3
0.807,12.38e-3
0.814,15.72e-3
0.823,22.5e-3
