volts,amps
0.558,0.688e-6
0.562,0.756e-6
0.566,0.839e-6
0.570,0.942e-6
0.575,1.071e-6
0.580,1.245e-6
0.586,1.490e-6
0.593,1.846e-6
0.602,2.46e-6
0.615,3.66e-6
0.626,5.43e-6
0.640,8.32e-6
0.651,12.54e-6
0.673,28.3e-6
0.688,48.1e-6
0.700,72.1e-6
0.715,121.3e-6
0.725,171.6e-6
0.739,305e-6
0.746,399e-6
0.753,498e-6
0.763,715e-6
0.772,990e-6
0.780,1.319e-3
0.792,1.916e-3
0.796,2.30e-3
0.805,2.99e-3
0.811,3.81e-3
0.820,4.85e-3
0.828,6.37e-3
0.833,7.24e-3
0.842,8.99e-3
0.856,14.09e-3
0.869,19.04e-3
0.877,23.3e-3
