volts,amps
0.561,0.696e-6
0.564,0.764e-6
0.568,0.847e-6
0.571,0.952e-6
0.576,1.085e-6
0.581,1.265e-6
0.586,1.519e-6
0.593,1.888e-6
0.602,2.53e-6
0.613,3.79e-6
0.622,5.70e-6
0.637,8.76e-6
0.648,13.49e-6
0.669,31.1e-6
0.682,49.8e-6
0.692,71.7e-6
0.706,121.6e-6
0.715,172.1e-6
0.728,294e-6
0.736,392e-6
0.742,504e-6
0.751,671e-6
0.760,966e-6
0.767,1.265e-3
0.778,1.886e-3
0.783,2.32e-3
0.791,3.06e-3
0.795,3.62e-3
0.804,4.92e-3
0.810,6.05e-3
0.814,7.21e-3
0.824,9.77e-3
0.830,11.56e-3
0.843,17.12e-3
0.854,23.0e-3
