volts,amps
0.361,0.712e-6
0.366,0.782e-6
0.371,0.867e-6
0.377,0.975e-6
0.383,1.111e-6
0.392,1.295e-6
0.400,1.528e-6
0.412,1.927e-6
0.425,2.56e-6
0.446,3.83e-6
0.467,5.71e-6
0.487,8.47e-6
0.511,13.09e-6
0.555,31.4e-6
0.581,47.7e-6
0.603,70.0e-6
0.634,121.4e-6
0.652,170.7e-6
0.675,305e-6
0.689,423e-6
0.700,542e-6
0.713,766e-6
0.725,1.054e-3
0.735,1.416e-3
0.748,2.07e-3
0.755,2.35e-3
0.764,3.33e-3
0.770,4.03e-3
0.779,5.42e-3
0.786,6.75e-3
0.790,7.91e-3
0.801,10.95e-3
0.807,13.81e-3
0.818,19.03e-3
0.828,25.40e-3
