volts,amps
0.531,0.659e-6
0.535,0.733e-6
0.539,0.790e-6
0.543,0.883e-6
0.547,1.003e-6
0.553,1.156e-6
0.559,1.371e-6
0.565,1.680e-6
0.574,2.23e-6
0.587,3.27e-6
0.599,4.76e-6
0.612,7.05e-6
0.622,11.20e-6
0.637,17.80e-6
0.661,41.2e-6
0.676,66.8e-6
0.691,112.3e-6
0.701,155.9e-6
0.708,195.9e-6
0.724,374e-6
0.732,486e-6
0.741,669e-6
0.750,913e-6
0.760,1.187e-3
0.771,1.798e-3
0.779,2.24e-3
0.787,2.91e-3
0.796,3.79e-3
0.805,4.78e-3
0.815,6.52e-3
0.821,7.65e-3
0.833,10.16e-3
0.841,12.48e-3
0.861,18.88e-3
0.866,21.7e-3
