volts,amps
0.570,0.694e-6
0.573,0.763e-6
0.577,0.846e-6
0.580,0.951e-6
0.584,1.084e-6
0.589,1.264e-6
0.594,1.518e-6
0.601,1.888e-6
0.609,2.52e-6
0.621,3.80e-6
0.633,5.71e-6
0.645,8.83e-6
0.657,13.41e-6
0.676,29.7e-6
0.690,48.0e-6
0.700,68.2e-6
0.713,108.6e-6
0.725,172.1e-6
0.739,370e-6
0.747,492e-6
0.754,638e-6
0.763,882e-6
0.771,1.202e-3
0.779,1.608e-3
0.790,2.36e-3
0.798,3.12e-3
0.805,3.90e-3
0.811,4.67e-3
0.817,5.65e-3
0.826,7.66e-3
0.834,9.44e-3
0.841,11.52e-3
0.852,15.45e-3
0.862,19.52e-3
0.873,24.2e-3
