volts,amps
0.441,0.706e-6
0.447,0.775e-6
0.453,0.859e-6
0.459,0.966e-6
0.465,1.100e-6
0.473,1.283e-6
0.482,1.539e-6
0.492,1.914e-6
0.505,2.56e-6
0.522,3.84e-6
0.540,5.78e-6
0.557,8.93e-6
0.572,13.65e-6
0.599,31.4e-6
0.614,50.3e-6
0.627,72.8e-6
0.643,121.6e-6
0.654,173.5e-6
0.670,307e-6
0.678,406e-6
0.685,518e-6
0.695,730e-6
0.705,999e-6
0.713,1.333e-3
0.724,1.932e-3
0.731,2.38e-3
0.736,2.97e-3
0.742,3.68e-3
0.750,4.81e-3
0.758,6.34e-3
0.763,7.60e-3
0.773,10.37e-3
0.780,13.18e-3
0.790,18.42e-3
0.798,24.1e-3

