volts,amps
0.436,0.676e-6
0.440,0.736e-6
0.446,0.823e-6
0.454,0.937e-6
0.460,1.054e-6
0.468,1.227e-6
0.478,1.484e-6
0.490,1.839e-6
0.505,2.44e-6
0.524,3.59e-6
0.544,5.29e-6
0.568,8.75e-6
0.587,13.27e-6
0.617,30.2e-6
0.634,44.7e-6
0.646,62.8e-6
0.669,114.3e-6
0.680,156.8e-6
0.688,193.2e-6
0.700,405e-6
0.709,512e-6
0.717,697e-6
0.727,920e-6
0.736,1.250e-3
0.744,1.709e-3
0.755,2.45e-3
0.763,3.19e-3
0.769,3.79e-3
0.777,4.78e-3
0.784,5.80e-3
0.792,6.94e-3
0.801,9.21e-3
0.805,10.49e-3
0.817,15.80e-3
0.828,20.50e-3
0.835,25.40e-3
