volts,amps
0.487,0.626e-6
0.492,0.680e-6
0.497,0.749e-6
0.505,0.837e-6
0.511,0.945e-6
0.520,1.087e-6
0.529,1.290e-6
0.538,1.579e-6
0.553,2.14e-6
0.568,3.13e-6
0.582,4.64e-6
0.599,7.34e-6
0.615,12.19e-6
0.629,19.42e-6
0.649,42.9e-6
0.662,68.2e-6
0.675,108.8e-6
0.685,155.0e-6
0.690,190.7e-6
0.704,411e-6
0.711,528e-6
0.720,739e-6
0.728,1.013e-3
0.736,1.353e-3
0.744,1.978e-3
0.751,2.49e-3
0.758,3.22e-3
0.767,3.95e-3
0.776,5.25e-3
0.782,6.72e-3
0.791,8.92e-3
0.798,10.95e-3
0.811,14.89e-3
0.822,19.89e-3
0.831,24.2e-3
