volts,amps
0.256,0.918e-6
0.262,1.013e-6
0.268,1.120e-6
0.274,1.263e-6
0.283,1.43e-6
0.292,1.67e-6
0.302,1.99e-6
0.315,2.48e-6
0.331,3.32e-6 
0.332,3.42e-6
0.354,5.23e-6
0.376,8.06e-6
0.401,12.96e-6
0.424,20.95e-6
0.453,37.82e-6
0.476,60.57e-6
0.494,87.42e-6
0.498,0.0945e-3
0.526,0.167e-3
0.547,0.259e-3
0.562,0.347e-3
0.576,0.457e-3
0.591,0.596e-3
0.608,0.831e-3
0.625,1.14e-3
0.642,1.53e-3
0.663,2.22e-3
0.678,2.91e-3
0.692,3.66e-3
0.704,4.51e-3
0.720,5.78e-3
0.734,7.17e-3
0.750,9.00e-3
0.768,11.38e-3
0.789,14.90e-3
0.810,19.36e-3
0.830,24.45e-3
