volts,amps
0.520,0.684e-6
0.524,0.755e-6
0.528,0.849e-6
0.532,0.953e-6
0.536,1.085e-6
0.541,1.264e-6
0.545,1.470e-6
0.552,1.822e-6
0.560,2.41e-6
0.572,3.56e-6
0.583,5.25e-6
0.595,7.96e-6
0.606,11.92e-6
0.631,30.3e-6
0.643,47.2e-6
0.652,67.6e-6
0.668,118.0e-6
0.678,168.9e-6
0.692,322e-6
0.700,421e-6
0.706,539e-6
0.715,740e-6
0.723,985e-6
0.731,1.321e-3
0.741,1.853e-3
0.750,2.58e-3
0.756,3.17e-3
0.764,3.99e-3
0.772,5.30e-3
0.780,7.01e-3
0.785,8.46e-3
0.794,10.59e-3
0.805,14.57e-3
0.814,18.14e-3
0.826,23.4e-3
