volts,amps
0.570,0.688e-6
0.574,0.751e-6
0.577,0.834e-6
0.581,0.937e-6
0.585,1.069e-6
0.590,1.244e-6
0.595,1.495e-6
0.601,1.850e-6
0.610,2.47e-6
0.621,3.68e-6
0.632,5.51e-6
0.644,8.47e-6
0.655,12.71e-6
0.676,29.4e-6
0.688,46.8e-6
0.698,65.1e-6
0.713,115.3e-6
0.724,171.5e-6
0.737,302e-6
0.744,396e-6
0.751,512e-6
0.759,683e-6
0.768,968e-6
0.777,1.314e-3
0.786,1.865e-3
0.793,2.42e-3
0.799,3.09e-3
0.806,3.91e-3
0.813,5.08e-3
0.820,6.53e-3
0.826,7.64e-3
0.834,10.50e-3
0.844,13.99e-3
0.855,18.44e-3
0.862,23.7e-3
