volts,amps
0.516,0.692e-6
0.520,0.759e-6
0.523,0.842e-6
0.527,0.946e-6
0.531,1.076e-6
0.536,1.255e-6
0.540,1.501e-6
0.547,1.864e-6
0.555,2.48e-6
0.566,3.71e-6
0.577,5.55e-6
0.588,8.50e-6
0.599,12.76e-6
0.619,29.1e-6
0.631,45.5e-6
0.642,69.1e-6
0.656,117.8e-6
0.667,173.9e-6
0.680,406e-6
0.687,540e-6
0.694,692e-6
0.703,952e-6
0.711,1.278e-3
0.719,1.695e-3
0.729,2.44e-3
0.736,3.22e-3
0.741,3.82e-3
0.745,4.597e-3
0.755,5.90e-3
0.761,7.83e-3
0.767,9.18e-3
0.774,11.90e-3
0.786,15.34e-3
0.796,19.41e-3
0.804,24.4e-3
