volts,amps
0.249,0.962e-6
0.253,1.055e-6
0.257,1.170e-6
0.261,1.313e-6
0.266,1.496e-6
0.272,1.745e-6
0.278,2.09e-6
0.285,2.60e-6
0.295,3.50e-6
0.309,5.53e-6
0.322,8.52e-6
0.335,13.6e-6
0.349,22.0e-6
0.366,40.0e-6
0.379,64.2e-6
0.381,66.8e-6
0.392,99.4e-6
0.408,178.6e-6
0.420,272.6e-6
0.429,366.5e-6
0.437,481.6e-6
0.444,623.5e-6
0.454,870.5e-6
0.465,1.19e-3
0.476,1.61e-3
0.488,2.34e-3
0.497,3.03e-3
0.507,3.81e-3
0.516,4.75e-3
0.525,6.02e-3
0.535,7.56e-3
0.545,9.51e-3
0.556,11.95e-3
0.569,15.57e-3
0.584,20.33e-3
0.596,25.57e-3
