volts,amps
0.576,0.678e-6
0.579,0.742e-6
0.582,0.822e-6
0.586,0.923e-6
0.590,1.048e-6
0.594,1.217e-6
0.599,1.445e-6
0.605,1.782e-6
0.613,2.34e-6
0.624,3.47e-6
0.635,5.14e-6
0.647,7.86e-6
0.660,12.16e-6
0.682,31.0e-6
0.695,49.5e-6
0.703,69.3e-6
0.718,117.8e-6
0.727,166.2e-6
0.741,293e-6
0.749,385e-6
0.755,491e-6
0.762,618e-6
0.772,928e-6
0.778,1.189e-3
0.788,1.720e-3
0.796,2.23e-3
0.801,2.78e-3
0.812,3.83e-3
0.816,4.51e-3
0.822,5.75e-3
0.830,7.25e-3
0.839,9.92e-3
0.848,12.80e-3
0.860,18.62e-3
0.871,24.1e-3
