volts,amps
0.577,0.694e-6
0.579,0.763e-6
0.582,0.846e-6
0.586,0.950e-6
0.590,1.083e-6
0.594,1.264e-6
0.600,1.517e-6
0.606,1.886e-6
0.614,2.53e-6
0.626,3.80e-6
0.637,5.71e-6
0.649,8.83e-6
0.661,13.51e-6
0.681,31.1e-6
0.694,49.6e-6
0.704,71.3e-6
0.718,119.0e-6
0.727,167.3e-6
0.741,295e-6
0.748,389e-6
0.755,508e-6
0.764,722e-6
0.774,997e-6
0.781,1.335e-3
0.791,1.909e-3
0.800,2.57e-3
0.805,3.11e-3
0.812,3.98e-3
0.821,5.23e-3
0.826,6.08e-3
0.833,7.66e-3
0.844,10.45e-3
0.852,13.65e-3
0.862,17.72e-3
0.876,23.8e-3

