volts,amps
0.562,0.696e-6
0.566,0.764e-6
0.570,0.847e-6
0.575,0.953e-6
0.579,1.086e-6
0.584,1.267e-6
0.590,1.520e-6
0.597,1.881e-6
0.607,2.53e-6
0.620,3.80e-6
0.632,5.73e-6
0.646,8.86e-6
0.659,13.55e-6
0.681,31.2e-6
0.694,49.7e-6
0.704,71.8e-6
0.719,120.2e-6
0.728,169.3e-6
0.742,314e-6
0.750,406e-6
0.757,526e-6
0.765,717e-6
0.773,970e-6
0.781,1.354e-3
0.790,1.918e-3
0.797,2.47e-3
0.802,2.90e-3
0.808,3.91e-3
0.817,5.30e-3
0.825,7.46e-3
0.832,9.55e-3
0.840,12.89e-3
0.850,16.48e-3
0.860,21.7e-3
0.867,25.8e-3

