volts,amps
0.282,0.657e-6
0.286,0.717e-6
0.290,0.794e-6
0.295,0.896e-6
0.300,1.039e-6
0.306,1.213e-6
0.313,1.449e-6
0.320,1.777e-6
0.330,2.32e-6
0.343,3.38e-6
0.357,4.92e-6
0.371,7.40e-6
0.385,10.97e-6
0.401,17.11e-6
0.437,48.8e-6
0.451,69.5e-6
0.469,107.2e-6
0.484,150.3e-6
0.511,319e-6
0.522,399e-6
0.532,497e-6
0.547,708e-6
0.563,976e-6
0.575,1.270e-3
0.593,1.865e-3
0.604,2.33e-3
0.615,2.95e-3
0.627,3.82e-3
0.640,5.22e-3
0.651,6.53e-3
0.661,8.38e-3
0.671,10.18e-3
0.687,14.67e-3
0.700,19.45e-3
0.708,23.3e-3
